"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace","Avg Step Speed Loss","Avg Step Speed Loss Percent"
"1","6:02.7","6:02.7","1.00","6:03","--","--","--","1","1","--","--","--","--","167","--","--","0.98","--","--","64","--","5:31","174","6:02.7","6:03","--","--"
"2","5:27.5","11:30","1.00","5:27","--","--","--","0","1","--","--","--","--","169","--","--","1.09","--","--","66","--","4:54","174","5:27.5","5:27","--","--"
"3","5:31.5","17:02","1.00","5:31","--","--","--","0","0","--","--","--","--","170","--","--","1.07","--","--","65","--","4:59","178","5:31","5:31","--","--"
"4","5:05.2","22:07","1.00","5:05","--","--","--","0","0","--","--","--","--","172","--","--","1.15","--","--","67","--","4:46","178","5:05","5:05","--","--"
"5","5:08.9","27:16","1.00","5:09","--","--","--","0","0","--","--","--","--","171","--","--","1.14","--","--","67","--","4:49","175","5:08.9","5:09","--","--"
"6","5:03.7","32:19","1.00","5:04","--","--","--","0","0","--","--","--","--","171","--","--","1.16","--","--","67","--","4:48","174","5:03.7","5:04","--","--"
"7","5:13.3","37:33","1.00","5:13","--","--","--","0","0","--","--","--","--","170","--","--","1.14","--","--","67","--","4:54","176","5:13","5:13","--","--"
"8","5:21.9","42:55","1.00","5:22","--","--","--","0","0","--","--","--","--","168","--","--","1.11","--","--","66","--","5:12","173","5:21.9","5:22","--","--"
"9","5:32.3","48:27","1.00","5:32","--","--","--","6","0","--","--","--","--","170","--","--","1.07","--","--","67","--","5:17","173","5:32","5:32","--","--"
"10","5:40.0","54:07","1.00","5:40","--","--","--","23","2","--","--","--","--","168","--","--","1.05","--","--","67","--","5:15","173","5:40","5:40","--","--"
"11","5:45.5","59:52","1.00","5:46","--","--","--","0","25","--","--","--","--","153","--","--","1.13","--","--","66","--","4:13","173","5:45.5","5:46","--","--"
"12","5:08.1","1:05:01","1.00","5:08","--","--","--","0","2","--","--","--","--","170","--","--","1.15","--","--","67","--","4:57","174","5:07","5:07","--","--"
"13","5:15.0","1:10:16","1.00","5:15","--","--","--","1","2","--","--","--","--","169","--","--","1.13","--","--","67","--","5:00","174","5:15.0","5:15","--","--"
"14","5:11.6","1:15:27","1.00","5:12","--","--","--","0","0","--","--","--","--","169","--","--","1.14","--","--","67","--","4:56","172","5:11.6","5:12","--","--"
"15","5:18.2","1:20:45","1.00","5:18","--","--","--","0","0","--","--","--","--","169","--","--","1.12","--","--","66","--","5:10","174","5:18","5:18","--","--"
"16","5:19.8","1:26:05","1.00","5:20","--","--","--","8","0","--","--","--","--","171","--","--","1.11","--","--","66","--","5:08","176","5:19.8","5:20","--","--"
"17","5:28.8","1:31:34","1.00","5:29","--","--","--","0","0","--","--","--","--","167","--","--","1.10","--","--","67","--","5:09","171","5:28","5:28","--","--"
"18","5:42","1:37:16","1.00","5:42","--","--","--","8","0","--","--","--","--","162","--","--","1.08","--","--","68","--","4:18","177","5:42","5:42","--","--"
"19","5:11.7","1:42:28","1.00","5:12","--","--","--","0","9","--","--","--","--","165","--","--","1.16","--","--","66","--","4:57","170","5:11.7","5:12","--","--"
"20","5:12.3","1:47:40","1.00","5:12","--","--","--","0","7","--","--","--","--","166","--","--","1.16","--","--","67","--","4:59","171","5:11","5:11","--","--"
"21","5:16.5","1:52:56","1.00","5:16","--","--","--","0","3","--","--","--","--","167","--","--","1.15","--","--","67","--","4:19","171","5:16.5","5:16","--","--"
"22","5:13.6","1:58:10","1.00","5:14","--","--","--","1","1","--","--","--","--","168","--","--","1.14","--","--","66","--","5:02","174","5:13","5:13","--","--"
"23","5:16.5","2:03:26","1.00","5:17","--","--","--","0","0","--","--","--","--","168","--","--","1.14","--","--","66","--","5:08","171","5:16.5","5:17","--","--"
"24","5:14.0","2:08:40","1.00","5:14","--","--","--","0","0","--","--","--","--","169","--","--","1.14","--","--","66","--","4:58","172","5:14.0","5:14","--","--"
"25","5:18.1","2:13:59","1.00","5:18","--","--","--","0","0","--","--","--","--","168","--","--","1.13","--","--","66","--","5:04","171","5:18","5:18","--","--"
"26","5:11.1","2:19:10","1.00","5:11","--","--","--","0","0","--","--","--","--","170","--","--","1.15","--","--","67","--","4:41","175","5:11","5:11","--","--"
